user,icon,message,image,pun
Sappysque,sappysque_tako_submission-Sappysque.png,"Happy birthday Inaaaaa!! ^^ Thank you so much for blessing us with cookies and your Ina-rrific self.  There's nothing that I can say to express my gratitude and admiration to you, but I hope that this message and drawing can put a little smile on your heart. ",sappysque_ina_birthday_2024_drawing-Sappysque.png,
Happytako,TAKO2024-Happytako.png,"Happy Birthday Ina our priestess! I love all your puns and coolness from your streams, forgive me as a fellow tako, not watched it all the way live, but is worth it after everything and will catch up with your streams. The Way of WAHs, tako follows, and wishes ina happy and healthy well. WAH!!! ",HappyInaBirthday2024-Happytako.png,"When I am down with a bad-ha-mood, I Clive for a Cid-der, but I can always think of the blessing of the Wah-nix up from our priestess, and transform to a Takorit, The Eikon of Wah. Burn with joy and laughter, Light with calm and wisdom, scorching our days with comfort until our Final Fantasy. "
JCC,,"Habbaduh Inya! Thank you for the comfy streams! It's always nice to hear your comfy voice cause it sends endorphins to my brain. Also, your stories are soooo relatable! Wishing you all the best our priestess!May you have good health and may your wishes/dreams come true! Will be a tako forever! WAH! ",,
kris (Christian Bondoc),kris-Kris.png,"happy birthday ina! as a vod watcher from a pretty different timezone, i havent been able to catch your streams live as often since ive gotten busier in the mornings-afternoons, but watching the vods still livens up my day! i hope streaming and idol work continues to be fruitful in the days to come",pebbleTako-Kris.png,
TengZhi,tako-TengZhi.png,"Happy birthday to our dear priestess，wish you have a best year of all past Ina, start from birthday. ",inanis-TengZhi.png,
Wigglytype,wigglytype_takodachi_2024_01-Wigglytype.png,"Happy Birthday, Ina! Thank you for another year of fun streams and endless WAH's!",wigglytype_ina_bday_2024_01-Wigglytype.png,Let's Taco about World Domination in queso it happens this year!
アリAri,Ari_Tako-Ari.png,Happy Birthday Ina~! I hope you have a great day today <3,Ari_InaBdayFanart-Ari.png,"You Octopi my heart, have an Ink-redible Birthday!"
McArkus,,Happy birthday Ina! Congratulations on this 4th birthday! hope you have an amazing day and continue having fun with everyone.,,
Jamu(ta)ko,jamukoTakoPfp-Jamuko.png,Happy bday Ina!!! You inspired me to try my hand at animation on CSP for the very first time! Thank you! WAH!!!,Jamuko-InaAnimation-Jamuko.webp,"Thank you for being (a realm re)BORN! Getting to know you has been HEAVEN(sward)! STORM(blood) or shine, you always (shadow)BRING(ers) us happiness! I will follow you to the END(walker)!"
redmercuryvapor,,"HAPPY BIRTHDAY INAAAA! YOUR PRESENCE IS A GIFT TO THIS WORLD, I APPRECIATE YOU!",IMG_3221-redmercuryvapor.png,"When someone ask you ""how are you doing?"" reply with ""i am doing my best."""
Nood koi,Screenshot_20240331_121603-NoodKoi.jpg,I love ina,20240513_042159-NoodKoi.jpg,Ina happy birthday to you 🥳
るかです,,お誕生日おめでとうございます！Inaのこと大好きで、あこがれです！ずっと応援してます！体をお大事に！,drawing3-Rukadeisu.png,
Reykhebaxh,TakoSubmission-ReyRey-Reykhebaxh.png,"Happy birthday Ina!Thank you for all of the hard works this year, お疲れ様でした. Your hard work and commitment to your crafts have inspired me to go on new challenges. I want to wish you another year of good health, happiness and success in every path you take. “私の生きたどの人生もが真実だ。どの道も正しい道だった”-「ミスター・ノーバディ」",InaBirthday2024-Submision-ReyRey-Reykhebaxh.png,"""What do Ina and a Dragoon have in common?""-""They are both floor gang"".  ""How does a Dragoon celebrate Ina's birthday?""- ""Elusive Jump with a hint of backflip""  (yeah i haven't play it for a while, so this is all i can think of (´･ᴗ･ ` ))"
Pedro Echeverría,,"I discovered Hololive because of a certain dog speaking spanish, but I stayed because of HoloMyth debut! They are an important part of my life since then. Specially that one purple girl Ninomae Ina'nis ¿do you know her? She has such a relaxing, calm voice and AMAZING drawing skills! HAPPY BIRTHDAY!!",InaBday-PedroEcheverria.png,
Teo,,"Happy Birthday Inaaaaaa!!! Thank you for the fun moments, the music, the drawings, the cookies. I hope you can achieve all your goals and tha we can keep enjoying  of your company. ",InaBirthday2024-Teo.png,
Remism,,생일축하해요 이나짱!,inaBday2024SNS-Remism.png,
Celest1,,"Happy Birthday to our Silly and Sweet Priestess, Thank you for all the memories with the Takos[and Ikas]. Hope you having a WAHnderful day!",,"I present unto you, for your birthday, another year of life."
WarsyDetective,,Happy birthday Ina!!!) Wah!,,
Be,,Have a WAHnderful birthday Ina!!,,
AbyssiHu,,"Hello Ina, happy birthday to you. Thank you for being there for us takos. I love your comfy personality, your otaku interests and your puns. I look forward to many more streams. Keep being WAHnderful.",,I can't believe you ruined your birthday cake. You blew it.
RiDeth,,Happy Birthday Ina!!! One year closer to WAHrld DomINAtion!,,Why did a moogle cross the road? To deliver you kupo hot choccy for your birthday!
A'lineh,21_takodachi-Alineh.png,"Happy Birthday! Thank you for all the fun time, inspiration and motivation!",25d-Alineh.jpg,
Granlitar,Granlitako-Granlitar.png,Happy Birthday Ina!!! Thank you for always working super hard for us Takos and doing your best to give us all a comfy place that we can call home <3 Hope you have an amazing birthday and get yourself some yummy cake (or cookies) to celebrate!,,
Tassu Alstroemeria,tassustroemeriaTako-TassuAlstroemeria.png,"You've been an inspiration ever since I saw your Spice & Wolf animation, your creations are beautiful and occasionally leave me in tears. I cross my fingers for a krita brush every day Miku and you hiding in the May ½Rain under your meconopsis, since we both seem to think highly of her majesty",24-05-11BirthdayInaAlstroemeria-TassuAlstroemeria.png,"have a final fantastic birthday (wait no) may the day be yours (get it, cause may is your birth month) may Cho Come Bome safely to celebrate your birthday, with.. a chocobo Uhldare to have a happy birthday I hope I'm so done.."
SharkyDoko,,Happy Birthday Ina~ May you have a WAHderful birthday!!!,,
yeastbeast,,Happy Birthday Ina. You've been a big inspiration for me rekindling my love for drawing. While I didn't color this one (I'm an old tako) I'll be better and come back for revenge. Thank you for being an inspiration to all us takos. We all wish for you're happiness and health always.,HappyBirthdayIna-yeastbeast.png,I hope you eat some Van-Ina and Tako-late cake
PatterOfTakos,,"Hello Ina. I am not an artist tako, but I hope you still enjoy this silly art. We Are Here for you and hope you are having a wahnderful time today!",badTakoArt-PatterOfTakos.png,"A Final Fantasy Fan got an ice cream commissioned to look like a big yellow bird, but when it arrived, it was a chocolate cake in the form of an archery weapon instead. They asked for a Chocobo cake, but got a Choco Bow Cake. ¯\_(ツ)_/¯"
,,"Happy Birthday, Ina! It's another year that has went by and I feel that we all feel a tad bit older now. I just want to wish another WAH-nderful year together with everyone. Of course, I wish for more success and good health for you. You and the Tentacult have been the best place to return to.",,
SynSight,PXL_20240513_1653487402-SynSight.jpg,Happy Birthday to the Sweetest 'tuber 🍠💜,PXL_20240514_0320364952-SynSight.jpg,
Kiyomi,received_1108860866895039-Kiyomi.jpeg,"HAPPY BIRTHDAY INA! I hope this special day brings you joy and laughter. I want express my support and gratitude to my amazing oshi. Your streams have been a source of comfort and happiness and they continue to uplift me during challenging times. With that being said, remember you are amazing! (´∇`)",received_1891559447957627-Kiyomi.jpeg,Let's tako 'bout your birthday! Today is your special day so have some cake and ice cream to celebrate sherbet day! (*´ ˘ `*)
weewooq,,"Hello! I want to take this chance to thank you. I was inspired by your art 2 years ago. Since then I have drawn a poster for my school, learned figure drawing, and am now working my way to art school. Your kindness is also just so admirable to me. Happy birthday Ina, thank you for all you do for us!",,
Vongola x,,"I had followed you from the start, i mainly watch JP before EN debut because of her comfyness, but you bring me to the EN side with you WAH. I hope your future full of happiness and brightness",,
,,Happy Birthday INA,ina2-soulxdino.png,
Pull,sketch1715745020588-Pull.png,Thank you for keeping me motivated to improve and never give up on drawing. I wish you nothing the but the best. O7,sketch1715745821648-Pull.png,"Did you know that the critically acclaimed vtuber Ninomae Ina'nis has an upcoming birthday stream? With an expanded free trial which you can watch and listen to the entire zatsudan, and the award-winning Karaoke stream up to 60 minutes for free with no restrictions on pressing subscribe..."
JeffriArt,Ina-birthday-2024-tako-transparent-JeffriArt.png,"Happy birthday, Ina!!! Thank you for always be my inspiration and love your comfy streams! ",Ina-birthday-2024-simple-w-text-JeffriArt.jpg,
Kinoko,KinoTako2-Kinoko.png,"Happy Birthday Ina, hope you have a good one! Haven't been able to catch your live streams as much because I'm nearing the end of my journey of of Master's Degree! Its been very busy here lately, but still I really thank you for keeping up the streams so I can listen to your VODs while I work!",,"I will always be sending birthday wishes in these fan projects,  because you *Octopi* my heart"
Hermit,tako2-Hermit.png,"Happy Birthday Ina!! I wish you good health, motivation and productivity. These are in demand nowadays~! For the present, I wanted to draw you something that would remind of summer. It's nothing special but I hope you like it! Thank you for being there, it's a pleasure to be your fan = w=)9",BirthdayIllust8-Hermit.png,"""Happy level up! According to my calculations you are finally able to summon Wahamut."" ...you can't force a pun after all huh."
Tako Servant,,Happy Birthday Ina! May your inspiration for world domINAtion... I mean art be everflowing and Hug-o-dex be completed with the ever increasing number of members!,IMG20240515230345-TakoServant.jpg,Ina always pick Berserkers from her friend list for FGO is because she is always Ina rage after failing at Gacha! (pls don't bonk me)
Tatsuran,TakodachiHoodie-Tatsuran.png,Still where? Still here! Still alive!,Ina_Birthday_2024_Tatsuran-Tatsuran.png,"Have you heard the one about the broken pencil? ...nah, don't worry about it; it's pointless. "
CreatorBlank,,"Happy Birthday Ina! your streams are always relaxing and fun to watch, hope you have fun day!",VtuberFGOForeignerInaFinal-CreatorBlank.png,
Vantablack,Tako-VantablackInaBirthday-Vantablack.png,"Happy birthday, Ina! Wishing you good health and lots of happiness, just like the smiles and laughs you bring with all the fun times. I'm forever grateful to be part of the cozy community you've built, so thank you!  P.S. Raisin cookies are delicious. Glory to the raisin empir-- [message expunged]",InaBirthday2024-Vantablack.png,"You better prepare Morbol for your birthday cuz it's gonna be soup-er!  get it? more bowl, soup... ha ha ha ha... *proceeds to bury myself"
Bangcock,tako-Bangcock.png,Wish our priestess would release an artbook that collects all her works soon!!!!,,(me brain so smol;(
scarletfeisty,IMG_6138-scarletfeisty.png,Thank you Ina for being a part of a pinnacle of my art journey! You’re my all time favorite vtuber and I can’t wait to see your journey transcend as time goes on and on!  ~scarletfeisty,IMG_6140-scarletfeisty.png,"What do you say to Alexa after using your ribbon? Alexa, PLAY UNRAVEL!"
KiwiNeko,,"HAPPY BIRTHDAY INAAA!! Thanks for being my favorite streamer & oshi for the past 3+ years. You & the tako community are the best!!  p.s. Got really into MonHun after seeing you playing, and have been inspired to don the majestic WIGGLER head! It looks splendid with the Frostfang Barioth set + w +)/",,
