label,media,date,longText,major,important,gaming,drawing,collab,video
【DRAWING】 Gesture Drawing + Doodle #4,https://i3.ytimg.com/vi/BmDH6j8gjUo/maxresdefault.jpg,11/01/2020,"After Inacademy class ended, we got to brainstorm even more adorable and iconic membership emotes!",FALSE,FALSE,FALSE,TRUE,FALSE,https://www.youtube.com/watch?v=BmDH6j8gjUo
【HOLOEN COLLAB】 KNOCK KNOCK!!,https://i3.ytimg.com/vi/nD5d_v9ZRpM/maxresdefault.jpg,11/01/2020,"Happy Holo-ween! A full HoloMyth collab playing Secret Neighbor, in which you showcase your incredible deception skills (and terrifying in-game microphone)!",FALSE,FALSE,TRUE,FALSE,TRUE,https://www.youtube.com/watch?v=nD5d_v9ZRpM
【DRAWING】ENMA Design + Random Drawing Stream,https://i3.ytimg.com/vi/6k63mnYQrOM/maxresdefault.jpg,11/07/2020,"Your design sense is shown off in this stream, as you give the legendary Enma a proper form!",FALSE,FALSE,FALSE,TRUE,FALSE,https://www.youtube.com/watch?v=6k63mnYQrOM
【COLLAB】 Drawing with Iofi-senpai!,https://i3.ytimg.com/vi/WFsdItkJ3Zw/maxresdefault.jpg,11/07/2020,The first collab with HoloID 1st gen: two perfectly normal humans drawing one another! We could tell you two hit it off right away.,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.youtube.com/watch?v=WFsdItkJ3Zw
【DRAWING】 Gesture Drawing + Doodle #6,https://i3.ytimg.com/vi/om0nH98YlJ0/maxresdefault.jpg,11/15/2020,"Congratulations on 500k subscribers, Ina! The usual gesture drawing is always helpful to see, and the doodle with you wearing glasses is super cute. Glasses are really versatile...",TRUE,TRUE,FALSE,TRUE,FALSE,https://www.youtube.com/watch?v=om0nH98YlJ0
【HOLOEN COLLAB】 Don't Starve Together!!,https://i3.ytimg.com/vi/DT1cSErJshw/sddefault.jpg,11/21/2020,"First time playing Don't Starve Together! Ame tried her best to keep everyone organized, and somehow you guys managed to get together at the end without too many fatalities...",FALSE,FALSE,TRUE,FALSE,TRUE,https://www.youtube.com/watch?v=DT1cSErJshw
【CHAT】 We Need to Tako,https://i3.ytimg.com/vi/lSk_i-M_ZHk/maxresdefault.jpg,12/02/2020,"One of the scariest titles ever created... but you reveal that you're now a senpai! Also, the first stream to include the Christmas Tako loading screen!",FALSE,TRUE,FALSE,FALSE,FALSE,https://www.youtube.com/watch?v=lSk_i-M_ZHk
【DRAWING】 Let's Learn Krita Together!!,https://i3.ytimg.com/vi/rEMllwFvzgc/maxresdefault.jpg,12/05/2020,"Learning new programs is always fun! We got the chance to join you as you tried out Krita. Getting some tips along the way, learning a lot about how brushes work, the importance of flipping your canvas, and much more!",FALSE,FALSE,FALSE,TRUE,FALSE,https://www.youtube.com/watch?v=rEMllwFvzgc
【Puyo Puyo Tetris 2】 BOIN BOIN,https://i3.ytimg.com/vi/Oi0W1hTnWl8/maxresdefault.jpg,12/15/2020,Your very first sponsored stream! Your gaming prowess was shown to everyone this stream as you calmly destroyed your genmates! Maybe the Tetris player isn't at a slight disadvantage...,TRUE,TRUE,TRUE,FALSE,TRUE,https://www.youtube.com/watch?v=Oi0W1hTnWl8
【COLLAB】 HAPPY HOLIDAYS!!!,https://i3.ytimg.com/vi/hFXAOzbrAiI/maxresdefault.jpg,12/18/2020,A full HoloMyth collab to decorate a Christmas tree on the HoloEN Minecraft server! It was wonderful seeing everybody get together and have fun for the Holidays.,FALSE,FALSE,TRUE,FALSE,TRUE,https://www.youtube.com/watch?v=hFXAOzbrAiI
