,,,,,MileStone,Uni's Favorite Moment,Scrapbook?,Website?,Video?,
77,【Minecraft】 WAH,Public,14/12/2020,,,,,,,
78,【Puyo Puyo Tetris 2】 BOIN BOIN,Public,15/12/2020,,,,,,,Puyo Puyo Tetris 2 is available now for consoles and for Steam in early 2021!!
79,【PORTAL 2】 1+1= Yes,Public,15/12/2020,,,,,,,Quik Maths!
80,【Journey】 You're Waiting For a Train,Public,16/12/2020,,,,,,,
81,TAKOEATS Cookie Showcase Announcement!!! (Link in Description),Public,18/12/2020,,,,,,,
82,【UNARCHIVED】 Karaoke Stream!!!,Private,18/12/2020,,,,,,,
83,【COLLAB】 HAPPY HOLIDAYS!!!,Public,18/12/2020,,,,,,,
84,【TITANFALL 2】 Phone Home? Home Phone?,Public,19/12/2020,,,,,,,
85,【DRAWING】 Gesture Drawing + Doodle #11,Public,20/12/2020,,,,,,,inacademy is now in session!
86,【Minecraft】 Hololive JP Server Tour with Nene and Polka!! ♥♥♥,Public,23/12/2020,,,,,,,Streaming with Nene and Polka~!!
87,Let's Make Macaron!! Takoholidays Cookie Showcase!!!,Public,24/12/2020,,,,,,,Party-shef
88,【Minecraft】 HO HO HO,Public,25/12/2020,,,,,,,
89,【Unravel】 Oshiete Oshiete Yo....,Public,26/12/2020,,,,,,,
90,【Minecraft】 HUMU,Public,27/12/2020,,,,,,,
91,【Minecraft】 exPLOSION!,Public,29/12/2020,,,,,,,
92,【DRAWING】 Goodbye 2020! Last Doodle Stream of the Year!,Public,31/12/2020,,,,,,,ABAYO
93,【Minecraft】 HNY!!!,Public,31/12/2020,,,,,,,
94,【CHAT】 Resolutions & Goals for the New Year!!,Public,01/01/2021,,,,,,,
95,【DEAR DIARY】 タコタコタコ,Public,03/01/2021,,,,,,,
96,【DRAWING】 Gesture Drawing + Doodle #12,Public,03/01/2021,,,,,,,inacademy is now in session!
97,【Lobotomy Corporation】 Trust Me I'm a Doctor!,Public,04/01/2021,,,,,,,
98,【CHAT】 TAKOYAKI PARTY!!!!,Public,06/01/2021,,,,,,,
99,【TIME-LAPSE】 New Year's Greetings,Public,07/01/2021,,,,,,,"Hello! I'm Ninomae Ina'nis from Hololive English! This is a commentated time-lapse recording of the 2021 New Year's wallpaper I drew! I did my best to explain my process briefly throughout the process, but since I couldn't cover all of it I wrote down a few frequently asked questions below! I hope this can be helpful to you!!"
100,【Ring Fit Adventure】 PAIN,Public,08/01/2021,,,,,,,An effort was made
101,【Sakuna: Of Rice and Ruin】 Gamer Girl Rice...?,Public,09/01/2021,,,,,,,
102,【DRAWING】 Gesture Drawing + Doodle #13,Public,10/01/2021,,700k Subscriber,,,,,Inacademy is now in session!
103,【Minecraft】 Head Empty No Thoughts,Public,12/01/2021,,,,,,,Shader: SEUS PTGI / Renewed
104,【Minecraft】 KFP Branch #2?!!?,Public,13/01/2021,,,,,,,Streaming with; [Takanashi Kiara]
105,【Shadowverse】 Let's Draw Shadowverse!!!! (Sponsored),Public,14/01/2021,,,,,,,Thanks to Shadowverse for sponsoring today’s stream!
106,【Lobotomy Corporation】 I'm the Manger Now :),Public,15/01/2021,,,,,,,
107,【COLLAB】 51 Haachamas Around The World!!!,Public,15/01/2021,,,,,,,Streaming with; [Akai Haato]
108,【DRAWING】 Gesture Drawing + Doodle #14,Public,18/01/2021,,,,,,,Inacademy is now in session!
109,"【Minecraft】 Write It as Minecraft, Read It as Zatsudan",Public,21/01/2021,,,,,,,Short stream!!
110,【Princess Connect: Re Dive】 YABAI DESU NE!! Let's Draw Priconne!!!,Public,21/01/2021,,,,,,,Thanks to Crunchyroll for sponsoring today’s stream!
111,【Q&A】 THANK YOU!!!!!,Public,23/01/2021,,,,,,,Thank you thank you thank you!!!
112,【Splatoon 2】 WOOMY,Public,25/01/2021,,,,,,,
113,【Clubhouse 51】 3-Way Chess,Public,26/01/2021,,,,,,,Postponed the full EN collab until a later date!! We're sorry about the inconvenience...!
114,【DRAWING】 Gesture Drawing #15,Public,28/01/2021,,,,,,,Inacademy is now in session!
115,【Minecraft】 Hey,Public,29/01/2021,,,,,,,Short stream!!......probably
116,【DRAWING】 NEW SUPER NENECHI,Public,31/01/2021,,,,,,,
117,【Splatoon 2】 BOOYAH,Public,02/02/2021,,,,,,,
118,【Lobotomy Corporation】 Hair Supplements for Everyone,Public,03/02/2021,,,,,,,
119,【Phasmophobia】 Ghost-chan Handshake Event?,Public,05/02/2021,,,,,,,Streaming with; [Airani Iofifteen] [Pavolia Reine] [Pochi sensei!!]
120,【Hollow Knight】 Swoosh Swoosh 【#1】,Public,05/02/2021,,,,,,,
121,【COLLAB】 Let's Draw with HoloEN!,Public,06/02/2021,,,,,,,Streaming together with; [Amelia Watson] [Gawr Gura] [Mori Calliope] [Takanashi Kiara]
122,【DRAWING】 Gesture Drawing + Doodle #16,Public,07/02/2021,,,,,,,Inacademy is now in session!
123,【Hollow Knight】 Hmm Hmm Hmm Hmm HMMM 【#2】,Public,09/02/2021,,,,,,,SHAW
124,【Hollow Knight】 Thumbnail You Can Hear 【#3】,Public,10/02/2021,,,,,,,POGO NO GO
125,【Hollow Knight】 MY KNEE 【#4】,Public,12/02/2021,,,,,,,
126,【DRAWING】 Valentine?!,Public,14/02/2021,,800k Subscriber,,,,,
127,【Hollow Knight】 Boin 【#5】,Public,19/02/2021,,,,,,,
128,【Hollow Knight】 F is for Friends Who WAH Together 【#6】,Public,20/02/2021,,,,,,,
129,【DRAWING】 Gesture Drawing + New Emotes #17,Public,21/02/2021,,,,,,,Inacademy is now in session!
130,【Hollow Knight】 It Starts With... 【#7】,Public,22/02/2021,,,,,,,
131,【READALONG】 Spice & Wolf Readalong!,Public,23/02/2021,,,,,,,Grab your snacks and drinks and make yourself comfortable! We're reading a bit of Spice & Wolf Vol. 1 together!! ' w ' )//
132,【Hollow Knight】 ..... 【#8】,Public,25/02/2021,,,,,,,
133,【KARAOKE】 Tako Sings,Public,26/02/2021,,,,,,,Archived is the new unarchived 
134,"【Hollow Knight】 Higher beings, these words are for you alone. 【#8.5】",Public,27/02/2021,,,,,,,
135,【A Hat in Time】 Let Me Borrow Your Hat!!! Co-op with Ame!!,Public,27/02/2021,,,,,,,Streaming together with; [Amelia Watson]
136,【DRAWING】 Gesture Drawing + Doodles #18,Public,28/02/2021,,,,,,,Inacademy is now in session!
137,【CHAT】 Morning Tako,Public,02/03/2021,,,,,,,It's morning somewhere in the world = w=
138,【Splatoon 2】 BOOYAH,Public,03/03/2021,,,,,,,
139,【APEX】 TRAINING ARC,Public,05/03/2021,,,,,,,LET'S GET DOWN TO BUSINESS
140,【A Hat in Time】 Have you seen my hat??? Co-op with Ame!!,Public,06/03/2021,,,,,,,Streaming together with; [Amelia Watson]
141,【Hollow Knight】 LAMP 【#8.55】,Public,07/03/2021,,,,,,,No Confidence
142,【DRAWING】 Miku~ Miku~,Public,08/03/2021,,,,,,,
143,【Splatoon 2】 HUMU,Public,10/03/2021,,,,,,,
144,【STUDY】 Let's.....study?!!?,Public,11/03/2021,,,,,,,Owl see how much I know
145,【6 MONTH ANNIVERSARY】 Half a Year of HoloEN!!!....and ANNOUNCEMENTS?!,Public,12/03/2021,,,,,,,THANK YOU!!!!!
146,【Visage】 EEEEEeee,Public,13/03/2021,,,,,,,
147,【Splatoon 2】 WAH-MEE,Public,16/03/2021,,,,,,,
148,【Ring Fit Adventure】 No Cost Too Great,Public,18/03/2021,,,,,,,An effort was made
149,【STUDY】 It's Owl Good,Public,19/03/2021,,,,,,,PIN PON
150,【Touhou Spell Bubble】 ⑨,Public,20/03/2021,,,,,,,
151,【DRAWING】 Gesture Drawing + Doodles #19,Public,21/03/2021,,,,,,,Inacademy is now in session!
152,【Story Of Seasons: Pioneers Of Olive Town】 MOO 【SPOILERS ALERT】,Public,23/03/2021,,,,,,,FARM
153,【BPM】 Oh Shoot,Public,24/03/2021,,,,,,,AHHHH
154,【Sky: Children of the Light】 Riding the Wind = w=,Public,25/03/2021,,,,,,,
155,【Minecraft】 Meep,Public,25/03/2021,,,,,,,Short stream!!......probably
156,【MONSTER HUNTER RISE】 Rise to the Occasion!!!,Public,26/03/2021,,,,,,,
157,【DRAWING】 Gesture Drawing + Doodles #20,Public,28/03/2021,,,,,,,Inacademy is now in session!
158,【MONSTER HUNTER RISE】 Rise and Shine,Public,29/03/2021,,,,,,,(chat gone due to VOD edit)
159,【MONSTER HUNTER RISE】 What Rise Ahead of Here...,Public,31/03/2021,,,,,,,Yesterday's VOD is still being processed!!
160,【MONSTER HUNTER RISE】 O,Public,04/04/2021,,,,,,,Short prob
161,【MONSTER HUNTER RISE】 Farming,Public,06/04/2021,,,,,,,
162,【Minecraft】 Once Upon a Roof,Public,07/04/2021,,,,,,,Shader: SEUS PTGI / Renewed
163,【MONSTER HUNTER RISE】 Hunting with Pochi-sensei + Reine + Anya!,Public,09/04/2021,,,,,,,I LIVE
164,【DRAWING】 Wah,Public,11/04/2021,,,,,,,
